,seller,money
1034,d5ab246b8a,60
798,a6b498072f,60
628,829b6c2f4d,60
216,283684239a,59
68,0b59c3f1ef,59
1013,d1c163557c,59
1220,fc88881ecf,58
563,74f0e9af36,58
402,4ba40bb91c,58
1095,e434cf9ec4,58
1157,ee9bd24577,57
996,cf79c544aa,57
1167,f03eb227cd,57
994,cec355ad0b,57
1225,fd49981ebd,57
941,c0aab40c3f,55
978,c9a8f534c9,55
700,942b271181,55
288,342c43fbb2,54
742,9aff552a67,54
712,959e95e53e,54
105,1337fe24b8,53
949,c2d1414cf4,53
1160,eef893272e,53
905,b993c8f205,52
108,138b3e33ff,52
363,429a3f8ce0,52
138,18397b265b,52
87,0f5829fd0a,52
1204,f79e1c14c2,51
872,b283afef99,51
1189,f58d9b4324,50
293,350d665d54,50
613,7efcd9097a,50
882,b4aa7cfa87,50
785,a47e09509c,50
1092,e3734fd022,49
725,9832dbff17,49
1148,ec98230f7f,48
617,80085f5140,48
410,4d8226ae94,48
508,696c0f7a92,48
1211,fa3dcc2b01,47
771,a2788c49c0,47
945,c1b24273e0,47
26,046783ecaa,47
1210,f9cdb6cbc9,47
668,8e5a33b424,46
889,b5ca58ac17,46
799,a6e3d5394e,46
483,5f7e9cf9bb,45
1071,dec4da0de6,45
448,5758ba005d,45
251,2d20378616,45
1032,d57f5c1bf5,45
967,c779f22e43,44
958,c5796877b8,44
789,a50688bb88,44
331,3d09cf8f45,44
630,83a29db6b1,44
1144,ec13334f84,43
1111,e6c989a1cb,43
456,59052f57f1,43
740,9aeb1ab7d2,42
1078,dfdb5fc19c,42
841,ad5113ead1,42
1053,da94493e80,41
332,3d0c25abf3,41
375,45cc1627d9,40
473,5ccff26d26,39
896,b6ee4627a1,39
696,92b67f8b20,39
358,41ea1b28c5,39
1061,dcf4764d26,39
747,9db07dbf3e,39
820,aa253da733,38
299,3597e03e44,38
1230,fe4e987846,38
360,421266fa5a,38
762,a0034c9ef4,38
758,9f64016616,38
35,05fe655351,37
1042,d73408fa60,37
255,2e50cf6de1,37
686,90b9c6864b,37
901,b848d6169a,37
690,91fe8a8efc,37
1221,fc9ef36035,37
910,b9e994ade4,37
709,95536eae9c,36
83,0e5cc751a6,36
642,88c613653b,36
197,23fe6d73ea,36
469,5bc6bcf05a,36
434,5210d8bd78,35
710,9556fe4bb7,35
53,085ac701a5,35
368,44106a2d4b,35
1178,f29c858620,35
296,35643d5df9,35
871,b240fe7602,35
736,9a9e6607f1,35
1091,e2d0654090,35
1222,fd00152124,35
1059,dc53d6d55d,34
870,b23e098368,34
957,c49ad379f5,34
505,67cef09236,34
32,05d403fbd3,33
1142,eb942e487f,33
787,a4c0576558,33
1131,ea491d2436,32
594,7a347cb80a,32
504,6746e523e9,32
489,63ae43f6af,32
1018,d303e10bf4,31
713,9614dad748,31
947,c1f89482e9,31
821,aa6e8705fc,31
567,75b83be895,31
317,39a1094567,31
165,1d4847214e,31
519,6b488e9f91,30
1103,e5c84be8b7,30
384,48527fee68,30
877,b3e07445be,30
433,520ce85422,30
1045,d788c3024f,30
770,a1ed0d8403,29
596,7b4be7f179,29
321,3ad770f8c2,29
629,82da3ff669,28
46,07537298ee,28
144,189a08faeb,28
695,92a1f8070f,28
982,ca6a074552,27
637,866b9c3045,27
168,1e0809278b,27
63,09c17a5aea,27
370,44cd7aadd1,27
272,30d2634221,27
366,42ed32ba3f,26
324,3b1b4a952a,26
261,2f77cccf3e,26
961,c5f1d84aec,26
466,5b7167b3e8,26
417,4ede98adae,26
1051,da60883651,25
1130,ea3824dab4,25
2,00a9f4a864,25
275,316d330dff,25
1177,f29c4c0086,25
159,1c72176351,25
377,463ca20575,24
739,9ac0b63dc9,24
1055,daad0cf11f,24
1087,e1c0e1ac9d,24
688,9173f22653,24
769,a1cd8be218,24
249,2d006bc263,23
234,2a39c5b9d8,23
1208,f98595667a,23
1068,de307da691,23
924,bde01e1d12,23
817,a9dba2045c,23
160,1c8aca8e35,22
427,514c3d388e,22
468,5bbc78e328,22
60,0975cbab57,22
141,186ac037aa,22
951,c2f34eb8e3,22
657,8c36235603,22
42,06bc3fd56a,22
952,c31c54ade0,22
807,a8374ee09b,21
719,97311976f3,21
644,897040c80c,21
754,9e884b9e65,21
763,a02e11d645,21
408,4d242619fd,21
942,c0b95d1faf,21
493,644ba32cd3,21
488,62e930091d,21
1192,f6260fa9b3,21
970,c85b69b22f,21
917,bbc17227ae,21
481,5edc5e3763,21
1112,e70ce06e35,20
192,2287955f22,20
654,8b5fa302f8,20
56,08858d2bc3,20
36,065d0db7bf,20
463,5b30501054,19
38,06710a7eab,19
1176,f267a50d4a,19
708,9531cbd1d5,19
1043,d75d1717d9,19
95,1193a2062d,19
133,175de9f49b,18
31,058a55ba5c,18
226,299eed547c,18
172,1e84754b8b,18
575,76ff686d08,17
1064,dd4db26d29,17
831,ac1bf04ea8,17
74,0c854bc712,17
704,94b561c4fe,17
242,2b52a341f0,17
995,cf184b1c49,16
940,c078eb3585,16
220,288b9a9026,16
3,00d18e6a74,16
571,763099cfa2,16
290,34ac2930c4,16
289,3495c7ce93,16
618,809d39935e,16
983,cac623dcc6,16
954,c429b8ae68,15
554,72e5e8e16c,15
510,69e2d96226,15
10,01a216ce06,15
444,559c52de85,15
803,a78ecd02ab,15
1223,fd05ff9ced,15
1052,da626b17b0,15
7,013c9c29d8,15
517,6b0fddcde5,14
175,1f3fc77745,14
233,2a2f44143c,14
522,6bbd9a408f,14
357,41ce5a8ca6,14
532,6de30c9697,14
737,9aae41c526,14
894,b66af72b69,14
884,b502b8538f,14
805,a794e346e1,14
228,29c3725af0,14
162,1ca1311547,13
163,1cf7daaaf8,13
422,501adff727,13
730,999f75eb18,13
1136,eb1bd83e23,13
984,cb14de9cf4,13
276,31dd8e0b49,13
194,2356886363,13
562,74e7a1b01b,13
636,854db6856f,13
590,79a5a33dea,12
246,2c5bbffa62,12
907,b9aad9dc7e,12
523,6c579252b7,12
471,5c7400c2fd,12
577,773608dea6,12
662,8d7778c6f8,12
338,3e5e64952e,12
1119,e89c2a4605,12
367,4345ed6884,12
498,654130ab11,11
472,5c88611103,11
75,0cac274f46,10
759,9fef7e5bea,10
139,1858a6609b,10
470,5c432614a1,10
1100,e5236a289c,10
389,49ac05b9a9,10
660,8cd1d759f8,10
267,2ffd871ff6,10
190,21b3da609c,10
1030,d563c63f6d,10
113,14b0d7410c,9
88,0f5f29b412,9
718,972b5f3710,9
698,9332054d9c,9
183,20339f52ac,9
682,9022de4fcc,9
1079,e014bcc510,9
256,2e95c3c2dc,9
421,4fea6a71e9,9
462,5aeab3c635,9
773,a2f877581c,9
811,a8ae48ce8a,8
1009,d1295b4123,8
791,a54e510db3,8
166,1dee33575a,8
986,cbab352192,8
659,8c8237f8f6,8
158,1c4c78208e,7
270,303eb4d25d,7
977,c936940c86,7
385,48752c589e,7
681,8fc62928b5,7
685,90adf01f90,7
374,45aa7eeddd,7
23,0372b4e75d,7
413,4e48b69f71,6
40,06a39419c4,6
361,4243c16e69,6
514,6aa8f67890,6
1047,d878baa809,6
714,963ba101e8,6
701,943a910ead,6
1156,ee6d4d91e9,6
59,08c99cbc51,6
1170,f089fcec8f,5
1120,e8a0e7346d,5
788,a4db9d1920,5
428,51a2e800c5,5
621,81cd80bcd9,5
